PolicyKey,PolicyNumber,OrgKey,PlanKey,AgentKey,AdjustmentDate,DateOfCommencement,ModeOfPayment,ChequeEncashmentDetails,PolicyStatus,PremiumInstallmentAmount,FUPDate,Gaps,SumAssured,Budget,PolicyVintageBucket,HasMobile,HasEmail,HasNEFT,HasPAN
950,POL0000950,41,3,27,2024-08-17,2024-09-06,Quarterly,Honoured,Inforce,1876.27,2025-08-26,1,219114.06,88300.14,>=1 year and <2 years,1,1,1,1
951,POL0000951,17,2,7,2025-02-06,2025-02-09,Monthly,NA,Inforce,2371.88,2025-11-21,3,521119.64,24929.61,>=1 year and <2 years,1,0,0,1
952,POL0000952,35,4,49,2025-03-03,2025-03-24,Half-yearly,NA,Inforce,4619.73,2026-01-23,0,377723.51,35709.36,>=1 year and <2 years,1,0,1,1
953,POL0000953,34,7,2,2024-05-19,2024-05-19,Monthly,Honoured,Inforce,2694.07,2024-11-20,0,784594.09,53703.94,>=1 year and <2 years,1,1,1,1
954,POL0000954,21,9,6,2024-10-14,2024-11-13,Single,NA,Inforce,3918.95,2025-02-15,1,655480.57,46160.6,>=1 year and <2 years,1,1,1,1
955,POL0000955,28,10,35,2024-02-23,2024-03-03,Monthly,NA,Inforce,3962.04,2025-01-17,5,537128.47,15136.42,>=2 years and <3 years,1,1,1,1
956,POL0000956,42,10,51,2025-10-06,2025-10-19,Quarterly,NA,Inforce,2115.59,2026-03-25,1,543759.99,30030.85,Less than 1 year,1,1,1,0
957,POL0000957,38,4,67,2024-02-15,2024-03-04,Monthly,NA,Inforce,2148.95,2024-05-01,0,487128.76,24593.96,>=2 years and <3 years,1,1,0,0
958,POL0000958,36,1,2,2023-12-06,2023-12-26,Half-yearly,NA,Inforce,2989.14,2024-09-06,4,353505.21,11498.19,>=2 years and <3 years,1,0,1,1
959,POL0000959,7,11,58,2024-06-16,2024-07-10,Monthly,Honoured,Inforce,2648.04,2024-10-03,0,746772.11,53964.58,>=1 year and <2 years,1,1,1,0
960,POL0000960,3,1,80,2024-12-27,2025-01-11,Single,Honoured,Inforce,2949.87,2025-07-16,2,432841.17,92767.43,>=1 year and <2 years,1,1,1,1
961,POL0000961,14,10,16,2024-04-07,2024-04-21,Half-yearly,NA,Lapsed,4052.92,2024-12-02,0,354801.19,25377.59,>=1 year and <2 years,1,1,1,0
962,POL0000962,9,7,73,2023-07-08,2023-07-30,Half-yearly,NA,Inforce,2444.64,2024-04-18,0,117390.2,35832.74,>=2 years and <3 years,1,1,0,1
963,POL0000963,12,5,38,2025-10-02,2025-10-24,Quarterly,Honoured,Inforce,2504.93,2026-07-08,3,414533.83,30782.52,Less than 1 year,1,1,1,1
964,POL0000964,18,7,42,2023-04-23,2023-05-09,Monthly,Honoured,Inforce,2421.48,2024-02-13,2,256717.0,82480.69,>=2 years and <3 years,1,1,0,1
965,POL0000965,4,7,50,2024-06-15,2024-06-15,Monthly,NA,Cooling Off,1769.5,2025-02-24,1,1520355.01,148656.27,>=1 year and <2 years,1,1,0,0
966,POL0000966,17,3,57,2025-08-13,2025-08-29,Single,Dishonoured,Inforce,6101.84,2026-02-27,2,203753.68,356117.67,Less than 1 year,1,1,1,1
967,POL0000967,26,3,63,2023-09-22,2023-10-04,Monthly,NA,Inforce,4400.96,2024-09-04,3,131076.44,36409.06,>=2 years and <3 years,1,1,1,0
968,POL0000968,40,11,14,2025-12-29,2026-01-28,Yearly,Honoured,Inforce,1908.86,2026-09-24,0,114091.71,22333.55,Less than 1 year,1,1,0,1
969,POL0000969,5,2,74,2024-10-04,2024-10-17,Half-yearly,Honoured,Inforce,3284.87,2025-02-25,5,133555.98,9349.99,>=1 year and <2 years,1,0,1,0
970,POL0000970,32,3,1,2023-08-28,2023-09-04,Yearly,NA,Inforce,845.98,2023-10-31,3,135993.28,17084.99,>=2 years and <3 years,0,0,1,0
971,POL0000971,22,7,74,2024-12-21,2025-01-07,Single,Honoured,Inforce,650.55,2025-07-15,2,155192.96,53651.62,>=1 year and <2 years,1,1,1,1
972,POL0000972,31,7,52,2026-02-25,2026-03-03,Half-yearly,Honoured,Inforce,2734.34,2026-06-08,3,413716.56,105165.38,Less than 1 year,1,0,0,0
973,POL0000973,35,4,1,2024-04-12,2024-04-30,Monthly,NA,Inforce,1119.41,2024-12-14,5,140278.6,358223.57,>=1 year and <2 years,1,1,0,1
974,POL0000974,8,10,69,2023-07-06,2023-07-18,Yearly,NA,Inforce,2308.41,2024-04-26,4,314036.85,50807.75,>=2 years and <3 years,1,0,1,0
975,POL0000975,26,1,12,2023-04-18,2023-04-19,Monthly,Honoured,Inforce,3961.79,2023-11-19,0,116282.72,42308.72,>=2 years and <3 years,1,1,0,1
976,POL0000976,30,5,26,2024-12-16,2025-01-06,Monthly,NA,Inforce,1690.45,2025-06-17,0,356783.35,90682.61,>=1 year and <2 years,1,1,0,1
977,POL0000977,13,5,50,2025-07-17,2025-08-10,Yearly,NA,Inforce,831.23,2025-12-10,2,230174.6,44435.13,Less than 1 year,1,1,1,0
978,POL0000978,6,11,57,2023-04-14,2023-05-13,Half-yearly,NA,Inforce,2545.51,2023-09-27,1,115247.23,56674.82,>=2 years and <3 years,1,1,1,1
979,POL0000979,38,4,63,2024-06-08,2024-06-10,Monthly,Honoured,Inforce,2981.68,2024-12-14,2,485761.61,86167.92,>=1 year and <2 years,0,1,0,1
980,POL0000980,32,9,58,2025-09-03,2025-09-12,Yearly,NA,Inforce,2554.9,2025-10-28,4,320064.54,194250.87,Less than 1 year,0,1,1,1
981,POL0000981,22,12,6,2025-08-01,2025-08-05,Monthly,NA,Inforce,2055.23,2025-12-02,3,358083.47,57374.88,Less than 1 year,1,1,0,1
982,POL0000982,34,8,69,2023-11-03,2023-11-15,Monthly,NA,Lapsed,1139.01,2024-06-22,1,222646.46,85194.55,>=2 years and <3 years,1,1,0,0
983,POL0000983,3,12,19,2025-05-01,2025-05-11,Quarterly,NA,Lapsed,3673.27,2026-02-05,1,230203.18,147569.29,Less than 1 year,1,1,1,1
984,POL0000984,40,1,32,2024-01-17,2024-02-05,Half-yearly,NA,Inforce,1741.95,2024-11-24,2,252388.13,83727.57,>=2 years and <3 years,1,0,0,1
985,POL0000985,4,5,13,2025-03-28,2025-04-20,Quarterly,NA,Inforce,2640.18,2025-06-13,2,806494.96,29527.76,Less than 1 year,1,0,1,1
986,POL0000986,7,2,64,2025-11-09,2025-11-27,Quarterly,NA,Inforce,3153.95,2026-01-01,0,644635.35,94075.3,Less than 1 year,0,1,1,1
987,POL0000987,13,7,44,2024-02-24,2024-03-23,Half-yearly,Dishonoured,Inforce,2465.82,2024-08-02,0,266854.27,39890.3,>=2 years and <3 years,1,1,0,1
988,POL0000988,21,2,74,2024-07-22,2024-07-26,Quarterly,NA,Cooling Off,3240.09,2024-08-26,3,88456.06,15496.05,>=1 year and <2 years,1,1,0,0
989,POL0000989,14,1,76,2024-12-09,2024-12-09,Monthly,NA,Inforce,671.76,2025-05-26,1,299438.59,294554.48,>=1 year and <2 years,1,1,1,1
990,POL0000990,27,3,48,2024-06-29,2024-07-08,Quarterly,NA,Lapsed,2031.39,2025-04-22,3,932844.87,52092.71,>=1 year and <2 years,1,1,1,1
991,POL0000991,3,3,13,2023-06-30,2023-06-30,Half-yearly,NA,Inforce,2705.45,2024-03-28,4,299596.4,33571.98,>=2 years and <3 years,1,1,0,1
992,POL0000992,11,1,63,2026-03-01,2026-03-24,Single,NA,Lapsed,3622.17,2027-02-21,5,381400.92,56539.53,Less than 1 year,0,1,1,1
993,POL0000993,42,10,37,2023-05-14,2023-05-27,Monthly,Honoured,Inforce,3226.35,2023-08-05,5,1156263.04,14660.95,>=2 years and <3 years,1,0,1,1
994,POL0000994,9,4,19,2024-09-21,2024-09-21,Quarterly,NA,Inforce,2761.98,2025-07-14,4,790639.91,141778.11,>=1 year and <2 years,1,1,1,0
995,POL0000995,12,10,5,2023-06-21,2023-07-18,Quarterly,Honoured,Inforce,2024.94,2023-10-28,5,1135780.5,25471.67,>=2 years and <3 years,1,1,0,1
996,POL0000996,6,11,39,2024-01-11,2024-02-10,Monthly,NA,Inforce,3220.54,2024-08-03,2,1225237.2,33377.02,>=2 years and <3 years,1,0,1,1
997,POL0000997,8,9,13,2024-04-28,2024-05-08,Quarterly,Honoured,Cheque Dishonor,3216.48,2024-11-09,2,276841.05,99220.31,>=1 year and <2 years,1,0,1,1
998,POL0000998,33,4,60,2024-02-16,2024-02-17,Half-yearly,NA,Inforce,915.63,2024-05-29,0,118281.76,181298.51,>=2 years and <3 years,1,1,1,1
999,POL0000999,13,2,20,2024-08-06,2024-09-05,Half-yearly,Dishonoured,Inforce,3427.32,2025-03-13,0,130946.61,29794.58,>=1 year and <2 years,1,0,0,0
1000,POL0001000,12,3,6,2023-11-09,2023-12-09,Single,NA,Inforce,3160.73,2024-06-03,5,804977.88,75843.89,>=2 years and <3 years,1,0,1,1
1001,POL0001001,17,6,79,2024-01-20,2024-01-31,Half-yearly,Honoured,Inforce,4400.96,2024-10-26,4,116556.76,197788.26,>=2 years and <3 years,1,1,0,0
1002,POL0001002,4,9,23,2024-12-09,2024-12-12,Monthly,NA,Inforce,5781.64,2025-06-05,4,197761.39,31512.24,>=1 year and <2 years,1,1,1,1
1003,POL0001003,5,4,57,2025-11-20,2025-11-20,Quarterly,NA,Inforce,1344.87,2026-06-22,1,101911.53,32858.59,Less than 1 year,1,1,1,1
1004,POL0001004,21,4,15,2026-02-01,2026-02-07,Monthly,NA,Inforce,6425.01,2026-12-10,3,1260713.23,43291.27,Less than 1 year,1,0,1,1
1005,POL0001005,13,7,29,2023-10-04,2023-10-18,Single,NA,Inforce,1189.65,2024-05-27,4,478406.18,156712.95,>=2 years and <3 years,1,0,1,0
1006,POL0001006,28,3,28,2023-04-13,2023-04-24,Yearly,NA,Inforce,1000.27,2024-02-14,2,471483.88,215834.18,>=2 years and <3 years,1,1,1,0
1007,POL0001007,9,8,25,2025-01-15,2025-02-02,Quarterly,Dishonoured,Inforce,3992.98,2025-11-23,5,107934.81,79411.7,>=1 year and <2 years,0,1,1,1
1008,POL0001008,9,1,73,2023-11-16,2023-12-06,Single,NA,Lapsed,1296.24,2024-01-19,4,489928.29,111792.56,>=2 years and <3 years,1,0,1,0
1009,POL0001009,30,7,22,2025-06-28,2025-07-07,Half-yearly,NA,Inforce,2094.91,2026-02-25,2,610853.71,13953.35,Less than 1 year,1,1,0,1
1010,POL0001010,11,11,79,2024-01-21,2024-02-03,Yearly,NA,Inforce,5624.31,2024-05-16,0,117281.36,5169.16,>=2 years and <3 years,1,0,1,0
1011,POL0001011,15,2,53,2025-06-22,2025-07-06,Yearly,NA,Cheque Dishonor,656.74,2025-11-10,1,214865.86,141051.68,Less than 1 year,0,1,0,1
1012,POL0001012,38,8,60,2023-11-19,2023-12-01,Monthly,Honoured,Inforce,917.18,2024-05-23,0,184825.12,127257.6,>=2 years and <3 years,1,1,1,1
1013,POL0001013,16,4,42,2024-06-12,2024-07-09,Monthly,NA,Lapsed,985.21,2024-09-14,2,669919.03,36972.83,>=1 year and <2 years,1,1,1,1
1014,POL0001014,10,10,1,2025-06-16,2025-07-16,Monthly,NA,Cheque Dishonor,2396.41,2025-09-26,5,122647.61,219900.1,Less than 1 year,1,1,1,1
1015,POL0001015,33,1,55,2026-01-19,2026-02-04,Quarterly,NA,Inforce,2808.84,2026-10-29,2,354069.35,69541.66,Less than 1 year,1,1,1,1
1016,POL0001016,7,8,64,2024-11-15,2024-12-14,Monthly,NA,Inforce,3889.64,2025-04-26,2,209578.28,180411.24,>=1 year and <2 years,1,1,1,0
1017,POL0001017,27,4,17,2023-04-11,2023-05-10,Monthly,NA,Cheque Dishonor,2656.53,2024-01-30,0,122640.86,54747.22,>=2 years and <3 years,1,0,0,0
1018,POL0001018,2,8,40,2025-05-29,2025-06-03,Monthly,NA,Inforce,546.67,2026-04-25,1,1040724.04,19801.35,Less than 1 year,1,0,0,0
1019,POL0001019,38,1,59,2025-08-07,2025-08-31,Quarterly,NA,Inforce,2609.77,2026-08-08,0,189564.08,72436.85,Less than 1 year,0,1,1,1
1020,POL0001020,12,6,60,2023-11-27,2023-12-18,Half-yearly,NA,Inforce,3425.97,2024-08-25,5,411638.31,92915.1,>=2 years and <3 years,1,1,1,1
1021,POL0001021,25,12,43,2024-09-03,2024-09-17,Quarterly,NA,Inforce,3954.53,2025-02-27,3,95031.37,171619.16,>=1 year and <2 years,1,1,0,0
1022,POL0001022,40,9,74,2023-10-30,2023-11-05,Half-yearly,Honoured,Inforce,1838.16,2024-02-11,5,258446.75,107840.35,>=2 years and <3 years,0,1,0,0
1023,POL0001023,22,12,8,2024-06-01,2024-06-05,Quarterly,Honoured,Inforce,1422.11,2024-09-15,2,430694.83,32955.94,>=1 year and <2 years,1,1,0,0
1024,POL0001024,4,2,50,2023-07-21,2023-08-09,Monthly,NA,Inforce,5380.8,2023-09-14,0,695417.67,27479.1,>=2 years and <3 years,1,0,0,0
1025,POL0001025,12,11,72,2024-08-01,2024-08-15,Half-yearly,NA,Inforce,4096.67,2024-11-18,2,444694.45,129780.81,>=1 year and <2 years,1,1,1,1
1026,POL0001026,9,6,31,2023-07-24,2023-08-19,Quarterly,NA,Inforce,1659.62,2023-10-16,0,241526.37,38753.81,>=2 years and <3 years,1,0,0,1
1027,POL0001027,38,12,27,2024-02-14,2024-03-09,Half-yearly,Honoured,Inforce,899.13,2024-05-13,1,114226.56,58988.95,>=2 years and <3 years,1,0,0,1
1028,POL0001028,18,9,55,2026-01-02,2026-01-21,Monthly,NA,Inforce,4767.17,2026-10-03,3,288809.96,185254.13,Less than 1 year,1,0,0,1
1029,POL0001029,32,9,68,2026-01-31,2026-02-24,Half-yearly,NA,Inforce,3405.85,2026-05-07,4,345123.39,44979.51,Less than 1 year,1,1,1,1
1030,POL0001030,35,5,58,2026-02-10,2026-02-11,Quarterly,Honoured,Lapsed,1480.61,2027-01-01,3,50000.0,46941.22,Less than 1 year,1,1,0,1
1031,POL0001031,5,4,59,2025-08-25,2025-09-10,Single,NA,Inforce,1347.69,2026-05-15,1,192128.5,48545.21,Less than 1 year,1,1,0,1
1032,POL0001032,5,2,22,2023-04-01,2023-04-13,Monthly,NA,Inforce,3663.66,2024-04-05,4,260168.42,35329.82,>=2 years and <3 years,1,1,0,0
1033,POL0001033,14,9,3,2023-10-02,2023-10-11,Monthly,Dishonoured,Inforce,852.98,2023-12-01,3,713604.44,85485.17,>=2 years and <3 years,1,1,1,1
1034,POL0001034,9,8,45,2023-05-04,2023-05-27,Monthly,Honoured,Inforce,2243.89,2023-11-06,4,420705.52,76385.44,>=2 years and <3 years,1,0,1,1
1035,POL0001035,13,2,3,2023-09-04,2023-10-04,Yearly,NA,Lapsed,1609.42,2024-08-18,1,804705.61,38408.43,>=2 years and <3 years,1,1,1,1
1036,POL0001036,42,6,53,2026-02-23,2026-03-10,Quarterly,NA,Inforce,4349.8,2026-04-21,2,268372.68,60050.97,Less than 1 year,1,1,1,0
1037,POL0001037,32,10,68,2024-06-25,2024-07-21,Half-yearly,NA,Inforce,2008.05,2024-10-01,1,79011.75,33239.35,>=1 year and <2 years,1,0,0,0
1038,POL0001038,9,5,22,2023-10-22,2023-11-11,Half-yearly,NA,Inforce,1720.25,2024-05-03,3,604805.24,30640.76,>=2 years and <3 years,1,1,1,0
1039,POL0001039,19,1,19,2025-12-03,2025-12-23,Monthly,NA,Inforce,1084.41,2026-09-14,2,1695777.39,19291.13,Less than 1 year,1,1,1,0
1040,POL0001040,11,12,69,2023-06-11,2023-06-12,Monthly,Dishonoured,Inforce,2105.74,2023-11-03,3,750495.74,2651.39,>=2 years and <3 years,1,1,1,1
1041,POL0001041,10,3,31,2024-05-04,2024-05-29,Monthly,Dishonoured,Inforce,1071.51,2025-02-23,1,96079.45,159459.6,>=1 year and <2 years,1,1,1,0
1042,POL0001042,29,5,48,2024-01-24,2024-02-09,Monthly,NA,Inforce,1439.36,2024-05-08,3,161942.97,16751.34,>=2 years and <3 years,1,0,1,1
1043,POL0001043,21,6,19,2025-04-12,2025-04-28,Monthly,NA,Inforce,8173.5,2025-10-01,2,436703.84,50289.75,Less than 1 year,1,1,1,1
1044,POL0001044,20,2,4,2025-01-06,2025-01-12,Monthly,NA,Inforce,3612.86,2025-10-28,3,558493.86,48967.99,>=1 year and <2 years,1,1,1,0
1045,POL0001045,30,6,20,2023-11-05,2023-11-12,Single,Honoured,Cooling Off,5197.68,2024-09-15,3,496512.14,91653.88,>=2 years and <3 years,1,1,1,1
1046,POL0001046,22,11,38,2025-12-25,2026-01-05,Quarterly,NA,Lapsed,1622.15,2026-10-04,3,310182.66,178871.78,Less than 1 year,1,0,1,0
1047,POL0001047,37,11,19,2023-08-12,2023-08-31,Half-yearly,Honoured,Lapsed,1265.69,2024-08-22,1,282817.26,41922.65,>=2 years and <3 years,0,0,1,0
1048,POL0001048,22,12,15,2023-09-13,2023-10-10,Half-yearly,Honoured,Inforce,1401.44,2024-06-20,0,261411.27,15954.47,>=2 years and <3 years,1,0,1,1
1049,POL0001049,36,2,40,2025-06-03,2025-06-22,Single,NA,Inforce,2435.09,2025-10-03,1,552957.04,49869.45,Less than 1 year,1,1,0,1
1050,POL0001050,23,2,42,2023-09-22,2023-10-10,Single,NA,Inforce,3083.32,2023-12-23,1,694342.87,21846.31,>=2 years and <3 years,0,0,1,1
1051,POL0001051,15,5,26,2025-12-30,2026-01-03,Single,NA,Inforce,1713.98,2026-11-12,3,270469.18,43541.03,Less than 1 year,1,1,1,1
1052,POL0001052,6,9,51,2024-11-01,2024-11-26,Monthly,NA,Inforce,2163.81,2025-05-06,3,348024.64,31000.24,>=1 year and <2 years,1,0,1,0
1053,POL0001053,4,11,47,2024-02-17,2024-02-24,Monthly,Honoured,Inforce,1069.34,2024-06-03,0,1702548.95,226263.54,>=2 years and <3 years,1,1,0,1
1054,POL0001054,25,6,2,2024-02-14,2024-03-05,Monthly,NA,Cooling Off,1531.56,2024-08-28,3,205797.87,109332.38,>=2 years and <3 years,1,1,1,1
1055,POL0001055,36,2,28,2023-06-15,2023-06-15,Half-yearly,NA,Cheque Dishonor,1278.78,2023-10-18,3,253132.21,27591.14,>=2 years and <3 years,1,1,1,0
1056,POL0001056,29,5,21,2025-09-13,2025-10-03,Half-yearly,Dishonoured,Inforce,1732.42,2026-03-31,1,418206.12,35430.82,Less than 1 year,1,1,0,1
1057,POL0001057,27,3,76,2024-01-12,2024-02-03,Quarterly,NA,Inforce,3154.1,2024-04-02,3,225745.7,29969.35,>=2 years and <3 years,1,1,0,1
1058,POL0001058,34,6,9,2026-02-12,2026-02-18,Yearly,NA,Inforce,5574.28,2027-02-15,4,834591.36,97461.17,Less than 1 year,1,0,1,0
1059,POL0001059,1,7,35,2024-08-11,2024-08-14,Monthly,NA,Inforce,1665.63,2024-12-21,3,1463803.17,62684.58,>=1 year and <2 years,1,0,1,1
1060,POL0001060,9,4,24,2025-06-29,2025-07-05,Half-yearly,NA,Inforce,3847.7,2026-06-29,2,172219.95,70741.04,Less than 1 year,1,1,0,1
1061,POL0001061,20,10,39,2025-03-07,2025-04-05,Quarterly,Honoured,Inforce,1489.87,2026-02-24,3,2341746.95,21028.76,Less than 1 year,1,1,1,1
1062,POL0001062,1,3,34,2026-01-01,2026-01-23,Monthly,NA,Inforce,1814.07,2026-10-28,4,103589.0,9834.28,Less than 1 year,1,0,1,1
1063,POL0001063,8,11,37,2024-01-20,2024-02-18,Monthly,NA,Inforce,3204.2,2025-02-11,4,89038.79,313560.01,>=2 years and <3 years,1,1,1,1
1064,POL0001064,16,1,16,2025-04-01,2025-04-26,Half-yearly,NA,Cooling Off,3828.51,2026-02-16,1,154832.15,37291.99,Less than 1 year,1,1,0,1
1065,POL0001065,39,12,47,2024-10-07,2024-10-20,Quarterly,NA,Lapsed,2486.91,2025-02-06,1,106192.69,22760.75,>=1 year and <2 years,1,1,0,0
1066,POL0001066,41,11,61,2024-07-22,2024-08-16,Yearly,Honoured,Inforce,3794.76,2025-02-15,0,146749.94,35105.26,>=1 year and <2 years,1,1,1,0
1067,POL0001067,37,1,34,2024-10-29,2024-10-31,Monthly,NA,Inforce,1160.96,2025-02-27,5,458625.04,23024.63,>=1 year and <2 years,1,0,0,1
1068,POL0001068,9,6,21,2023-06-19,2023-07-01,Single,NA,Inforce,8714.53,2023-09-23,3,855226.84,91491.34,>=2 years and <3 years,1,1,1,0
1069,POL0001069,23,1,38,2025-12-13,2025-12-21,Monthly,NA,Inforce,2926.21,2026-11-20,0,1207123.6,13758.37,Less than 1 year,1,1,1,1
1070,POL0001070,13,11,24,2024-07-01,2024-07-23,Half-yearly,NA,Inforce,3700.56,2025-06-21,3,343338.42,138770.06,>=1 year and <2 years,1,1,1,1
1071,POL0001071,21,6,39,2025-01-26,2025-01-29,Monthly,NA,Inforce,3987.05,2025-03-01,1,183907.34,48117.84,>=1 year and <2 years,1,0,0,1
1072,POL0001072,35,10,46,2024-12-22,2025-01-16,Half-yearly,NA,Inforce,3121.79,2025-03-10,5,537536.29,49361.48,>=1 year and <2 years,1,1,1,0
1073,POL0001073,24,8,53,2023-07-04,2023-07-04,Monthly,Honoured,Inforce,7590.83,2024-05-13,5,128410.03,8112.1,>=2 years and <3 years,1,0,1,1
1074,POL0001074,10,9,29,2024-04-20,2024-05-08,Half-yearly,Honoured,Inforce,2107.01,2025-01-29,1,292270.83,135356.01,>=1 year and <2 years,1,1,1,1
1075,POL0001075,34,9,71,2024-07-21,2024-07-26,Half-yearly,Honoured,Inforce,457.76,2024-11-25,3,325249.5,54705.05,>=1 year and <2 years,1,1,0,0
1076,POL0001076,5,2,17,2023-12-21,2024-01-10,Yearly,NA,Inforce,2176.4,2024-06-27,5,281632.53,31760.37,>=2 years and <3 years,1,1,1,1
1077,POL0001077,24,3,57,2025-02-19,2025-03-04,Yearly,NA,Inforce,744.59,2026-01-16,0,1087339.79,44999.62,>=1 year and <2 years,1,1,1,1
1078,POL0001078,22,3,39,2023-06-04,2023-06-20,Single,Honoured,Inforce,2500.99,2024-06-06,3,191964.96,121358.81,>=2 years and <3 years,1,1,0,1
1079,POL0001079,10,12,30,2024-08-12,2024-09-05,Monthly,NA,Cheque Dishonor,4963.62,2025-02-20,0,206694.91,34393.49,>=1 year and <2 years,1,1,1,1
1080,POL0001080,28,12,15,2025-05-31,2025-06-06,Single,Honoured,Inforce,2691.86,2025-07-23,3,829453.72,50247.68,Less than 1 year,1,0,1,1
1081,POL0001081,3,4,14,2024-02-11,2024-02-12,Single,NA,Inforce,2155.21,2024-09-12,1,62194.63,40197.62,>=2 years and <3 years,1,1,1,1
1082,POL0001082,31,2,33,2024-11-10,2024-11-28,Single,NA,Inforce,2004.59,2025-01-16,4,130114.85,18901.34,>=1 year and <2 years,1,1,1,0
1083,POL0001083,7,2,78,2025-08-08,2025-08-17,Monthly,Honoured,Inforce,2412.41,2026-04-30,3,450876.95,27539.97,Less than 1 year,1,1,1,1
1084,POL0001084,23,1,12,2023-07-13,2023-08-09,Monthly,Honoured,Inforce,6507.96,2024-07-18,5,205648.17,10754.49,>=2 years and <3 years,1,1,0,1
1085,POL0001085,38,6,46,2025-10-05,2025-10-19,Monthly,NA,Inforce,2667.71,2026-02-17,4,538488.85,136139.24,Less than 1 year,1,0,1,1
1086,POL0001086,16,9,73,2024-06-28,2024-07-12,Single,Honoured,Inforce,3993.32,2025-01-29,5,836155.63,287996.47,>=1 year and <2 years,1,1,1,1
1087,POL0001087,34,4,25,2026-03-10,2026-04-04,Yearly,NA,Inforce,2838.28,2026-09-11,2,437540.53,45806.47,Less than 1 year,1,1,1,1
1088,POL0001088,1,12,13,2024-11-01,2024-11-03,Yearly,Honoured,Lapsed,3878.57,2025-02-23,3,343412.13,50128.98,>=1 year and <2 years,1,1,1,0
1089,POL0001089,31,6,76,2025-05-13,2025-05-14,Monthly,NA,Inforce,3432.6,2025-12-23,0,224877.0,30024.32,Less than 1 year,1,1,1,1
1090,POL0001090,23,7,55,2024-04-22,2024-05-03,Monthly,NA,Inforce,4432.65,2025-01-14,5,464876.58,214270.94,>=1 year and <2 years,1,1,0,1
1091,POL0001091,21,2,60,2024-04-22,2024-04-28,Monthly,NA,Inforce,9654.61,2024-08-17,4,206916.21,107303.97,>=1 year and <2 years,1,1,1,1
1092,POL0001092,19,9,6,2025-04-01,2025-04-28,Single,NA,Inforce,1827.2,2026-04-06,4,372678.27,24901.16,Less than 1 year,1,0,1,1
1093,POL0001093,30,10,40,2025-01-09,2025-01-31,Half-yearly,Honoured,Inforce,2493.73,2025-09-26,3,826127.81,30356.82,>=1 year and <2 years,1,1,0,1
1094,POL0001094,27,5,55,2024-12-26,2025-01-14,Monthly,NA,Inforce,2367.61,2025-04-30,1,749506.2,25339.36,>=1 year and <2 years,1,1,1,0
1095,POL0001095,31,11,48,2024-09-19,2024-09-25,Monthly,Dishonoured,Inforce,3538.66,2025-04-28,3,492780.36,437608.22,>=1 year and <2 years,0,1,1,0
1096,POL0001096,7,7,57,2024-08-18,2024-09-02,Quarterly,NA,Inforce,7011.82,2025-06-27,4,924713.26,85272.21,>=1 year and <2 years,1,1,1,1
1097,POL0001097,26,7,76,2025-05-30,2025-06-22,Yearly,Honoured,Lapsed,1641.05,2026-02-14,5,78043.51,106673.9,Less than 1 year,1,1,1,0
1098,POL0001098,11,2,47,2025-03-12,2025-03-19,Yearly,NA,Inforce,2365.96,2025-06-24,3,312747.25,167618.48,>=1 year and <2 years,1,1,0,1
1099,POL0001099,26,2,30,2023-10-28,2023-11-20,Half-yearly,Honoured,Inforce,2273.19,2024-01-11,2,109199.93,409288.12,>=2 years and <3 years,1,1,0,1
1100,POL0001100,38,10,35,2024-12-08,2024-12-08,Half-yearly,Honoured,Lapsed,1022.85,2025-08-15,3,201847.56,32040.69,>=1 year and <2 years,1,1,0,1
1101,POL0001101,23,8,78,2025-03-24,2025-04-12,Yearly,Dishonoured,Inforce,808.53,2025-11-01,4,81095.86,24267.59,Less than 1 year,1,1,1,0
1102,POL0001102,10,8,14,2024-05-07,2024-05-25,Monthly,NA,Inforce,3680.78,2025-03-04,5,1168267.07,24270.57,>=1 year and <2 years,1,1,1,1
1103,POL0001103,9,1,13,2025-02-12,2025-02-23,Half-yearly,Honoured,Inforce,2223.96,2025-08-01,2,628534.36,16681.03,>=1 year and <2 years,1,1,1,0
1104,POL0001104,2,3,49,2023-11-20,2023-12-12,Quarterly,NA,Inforce,5083.12,2024-06-16,0,455230.2,41125.74,>=2 years and <3 years,1,0,1,1
1105,POL0001105,40,2,10,2024-08-08,2024-08-30,Half-yearly,NA,Inforce,2323.64,2024-10-06,0,373016.95,27867.64,>=1 year and <2 years,1,1,0,1
1106,POL0001106,30,4,38,2024-10-30,2024-11-21,Half-yearly,NA,Inforce,3532.13,2025-11-01,1,540540.6,9678.14,>=1 year and <2 years,1,1,0,1
1107,POL0001107,22,9,70,2025-10-01,2025-10-28,Single,Honoured,Cheque Dishonor,3544.54,2026-05-25,3,297432.35,14955.39,Less than 1 year,1,0,0,0
1108,POL0001108,8,7,58,2026-01-20,2026-02-08,Monthly,NA,Inforce,1986.1,2026-06-24,3,359849.71,11369.44,Less than 1 year,1,1,1,0
1109,POL0001109,3,3,72,2024-03-24,2024-04-06,Half-yearly,Honoured,Lapsed,3256.5,2024-05-17,4,297154.97,39094.11,>=1 year and <2 years,1,1,0,1
1110,POL0001110,11,8,56,2025-03-20,2025-03-20,Monthly,Honoured,Inforce,2329.39,2025-12-30,4,102221.91,44675.9,>=1 year and <2 years,1,0,1,1
1111,POL0001111,8,10,63,2025-03-01,2025-03-29,Half-yearly,NA,Inforce,2228.88,2025-07-28,5,97801.61,27802.64,Less than 1 year,1,0,1,0
